f1/micro	precision/micro	recall/micro	loss	step
0.08203613013029099	0.04502620920538902	0.4607834815979004	13.047088899612426	200
0.08827044814825058	0.048829350620508194	0.4591045677661896	12.1259002161026	400
0.09121032059192657	0.05222856625914574	0.3596174120903015	10.1245346057415	600
0.0006749609601683915	0.0715065598487854	0.0003390807833056897	3.4632402408123015	800
0.00014022264804225415	0.12075112760066986	7.015206210780889e-05	3.32686798453331	1000
0.0004612601187545806	0.23559285700321198	0.00023085605062078685	3.2015691924095155	1200
0.0027701614890247583	0.5367511510848999	0.001388664124533534	3.0732108986377717	1400
0.015377161093056202	0.7831662893295288	0.0077648102305829525	2.923254998922348	1600
0.021028153598308563	0.7716188430786133	0.010659320279955864	2.809326399564743	1800
0.045085787773132324	0.8488590717315674	0.023157890886068344	2.6512459659576417	2000
0.07718711346387863	0.8582224249839783	0.04041079804301262	2.5083251947164538	2200
0.12456861138343811	0.8780825734138489	0.06703956425189972	2.3887452799081803	2400
0.2437734603881836	0.8876262307167053	0.14128807187080383	2.2158733451366426	2600
0.3470454514026642	0.8933607339859009	0.21535177528858185	2.06981259226799	2800
0.4464420676231384	0.8902180790901184	0.2979254126548767	1.9262760519981383	3000
0.5293371677398682	0.8942869901657104	0.37592554092407227	1.7859042996168137	3200
0.5912057161331177	0.8871924877166748	0.44330838322639465	1.707810810804367	3400
0.6439956426620483	0.8899498581886292	0.504552960395813	1.575845668911934	3600
0.695989191532135	0.8905062079429626	0.5712159872055054	1.4612690150737762	3800
0.7187213897705078	0.8909021019935608	0.6023147106170654	1.3990030938386917	4000
0.7477628588676453	0.8926379084587097	0.6433477401733398	1.311008240878582	4200
0.7653605341911316	0.8946026563644409	0.6687474250793457	1.2368276426196099	4400
0.782450258731842	0.8997311592102051	0.6922188401222229	1.1655144268274307	4600
0.8007168769836426	0.9015489220619202	0.7201706171035767	1.0993321999907493	4800
0.8082261681556702	0.8977578282356262	0.7349326610565186	1.066467060148716	5000
0.8200199604034424	0.8998773097991943	0.7531808018684387	1.0034570479393006	5200
0.8354568481445312	0.9061505794525146	0.7749952077865601	0.9349798141419887	5400
0.8388984203338623	0.9051432013511658	0.781688928604126	0.9149735455214977	5600
0.8415187001228333	0.9026041030883789	0.7881773114204407	0.9022225825488568	5800
0.8531375527381897	0.9093512296676636	0.8034692406654358	0.8354460203647613	6000
0.8603969216346741	0.9108350276947021	0.8152518272399902	0.8007623481750489	6200
0.8613607287406921	0.909558117389679	0.8180141448974609	0.7884985466301441	6400
0.8645873665809631	0.9106179475784302	0.8229864239692688	0.7681009040772915	6600
0.874502956867218	0.9168509840965271	0.8358941674232483	0.7146299873292447	6800
0.8748120665550232	0.9152800440788269	0.8377710580825806	0.713999864012003	7000
0.8750943541526794	0.913689374923706	0.839627742767334	0.700970743894577	7200
0.878206729888916	0.9162603616714478	0.8431879878044128	0.6909903009235859	7400
0.8826301693916321	0.9179655313491821	0.8499142527580261	0.6702860952913761	7600
0.8852502703666687	0.9172953367233276	0.8553686738014221	0.6437958993017674	7800
0.8910458087921143	0.9237927198410034	0.8605409860610962	0.622452729344368	8000
0.8885751962661743	0.9193446636199951	0.8597986102104187	0.6318115462362767	8200
0.8918864130973816	0.9220387935638428	0.8636437058448792	0.6099496957659721	8400
0.8978949785232544	0.9239790439605713	0.8732432126998901	0.580757554769516	8600
0.8995164036750793	0.9255764484405518	0.874883770942688	0.5662322428822517	8800
0.9005430340766907	0.9258571267127991	0.8765764236450195	0.5624414873123169	9000
0.9027630090713501	0.9284137487411499	0.8784915804862976	0.5521445153653621	9200
0.8999701738357544	0.9251278042793274	0.8761445879936218	0.561326088309288	9400
0.9070292115211487	0.9299793839454651	0.8851844668388367	0.5284438893198967	9600
0.9077759981155396	0.9302456378936768	0.8863663673400879	0.5249426480382681	9800
0.9091789722442627	0.9316402673721313	0.8877752423286438	0.5107400104403496	10000
0.9084497094154358	0.929639995098114	0.888204038143158	0.5146488092839718	10200
0.9102011919021606	0.9310423731803894	0.8902726769447327	0.5042577540874481	10400
0.9110954999923706	0.9309072494506836	0.8921093940734863	0.5033877985179425	10600
0.9140239953994751	0.9332844018936157	0.8955425024032593	0.48453526973724365	10800
0.9156627655029297	0.9352386593818665	0.8968896269798279	0.4748983673006296	11000
0.9163219332695007	0.9346678853034973	0.8986822962760925	0.47010644525289536	11200
0.9160779118537903	0.9351347088813782	0.8977823257446289	0.46531281344592573	11400
0.9192190766334534	0.9368394613265991	0.9022492170333862	0.4597971288114786	11600
0.9222137331962585	0.9383946657180786	0.906581461429596	0.4401000452786684	11800
0.923267662525177	0.9395467042922974	0.9075430631637573	0.43227222755551337	12000
0.9227724671363831	0.9385418891906738	0.9075242877006531	0.44099257901310923	12200
0.9201074838638306	0.9361976981163025	0.9045609831809998	0.4481943634152412	12400
0.9207327961921692	0.937023401260376	0.9049988985061646	0.4436595755815506	12600
0.9212406873703003	0.9363294839859009	0.9066304564476013	0.4388207007944584	12800
0.9264960885047913	0.9405582547187805	0.9128483533859253	0.41557186990976336	13000
0.9236657619476318	0.9396228790283203	0.9082415699958801	0.4243475772440434	13200
0.92616868019104	0.9415469169616699	0.9112846255302429	0.41812084563076496	13400
0.9240449070930481	0.9397009015083313	0.908902108669281	0.4308669470250607	13600
0.9270422458648682	0.9409156441688538	0.9135720729827881	0.41050490498542785	13800
0.9259081482887268	0.9402167797088623	0.9120286107063293	0.4122848019748926	14000
0.930138885974884	0.9433143734931946	0.9173263311386108	0.39468960389494895	14200
0.9270721077919006	0.9416967630386353	0.9128947854042053	0.4040397921949625	14400
0.9305105805397034	0.9442470669746399	0.917168140411377	0.3899218495190144	14600
0.930436909198761	0.9437404274940491	0.9175032377243042	0.3900291930884123	14800
0.9316075444221497	0.9438944458961487	0.9196364879608154	0.38600870937108994	15000
0.9296250343322754	0.9424850940704346	0.9171112179756165	0.39425387367606163	15200
0.9328005909919739	0.9452956318855286	0.9206315875053406	0.37320204827934506	15400
0.9301579594612122	0.9426463842391968	0.9179960489273071	0.386940973252058	15600
0.9291815161705017	0.9432157278060913	0.9155588150024414	0.39553137436509134	15800
0.9325494766235352	0.9449629187583923	0.9204579591751099	0.37774490892887114	16000
0.9355370998382568	0.9476395845413208	0.9237399101257324	0.36306512881070374	16200
0.9326761960983276	0.9449154138565063	0.9207499027252197	0.3768963724374771	16400
0.9323977828025818	0.944541335105896	0.9205623865127563	0.38107251800596714	16600
0.9314790368080139	0.943473756313324	0.9197854995727539	0.3842206630855799	16800
0.9353169798851013	0.9468849897384644	0.9240282773971558	0.3612095019221306	17000
0.9339535236358643	0.9458698034286499	0.9223337769508362	0.3705785597488284	17200
0.9371968507766724	0.9485276937484741	0.9261335730552673	0.35458476573228837	17400
0.9368329644203186	0.9481260776519775	0.9258056879043579	0.35597112864255903	17600
0.9344210028648376	0.9458158016204834	0.9232975244522095	0.3632278105616569	17800
0.9378277659416199	0.9481199383735657	0.9277565479278564	0.348656352609396	18000
0.9345465302467346	0.9459277987480164	0.9234358668327332	0.36462749272584916	18200
0.9360927939414978	0.9469051957130432	0.9255244135856628	0.35965773653239014	18400
0.935326099395752	0.9465215802192688	0.9243924617767334	0.3651876639202237	18600
0.9373176693916321	0.9479657411575317	0.9269062280654907	0.3541058953478932	18800
0.9350356459617615	0.9454980492591858	0.9248022437095642	0.3659320184588432	19000
0.9366928935050964	0.9475011229515076	0.926128625869751	0.354871321618557	19200
0.9378063678741455	0.9486083388328552	0.9272476434707642	0.3494097357988358	19400
0.9382579922676086	0.9482307434082031	0.9284929633140564	0.3476593582332134	19600
0.9380267858505249	0.9488041400909424	0.9274914860725403	0.3478912660852075	19800
0.9354308247566223	0.9471942186355591	0.923956036567688	0.3579821239411831	20000
