f1/micro	f1/clade_micro	precision/micro	recall/micro	loss	step
0.9816621541976929	0.9831094741821289	0.984000563621521	0.9793348908424377	0.10803943013586104	1000
0.9813099503517151	0.9827601313591003	0.9836946129798889	0.9789367318153381	0.11126404124870896	2000
0.981209397315979	0.9826620221138	0.983669638633728	0.9787614345550537	0.11151260626874863	3000
0.9810338020324707	0.9823657274246216	0.9835125207901001	0.9785675406455994	0.11331997145153581	4000
0.9808136224746704	0.9823737740516663	0.9834076762199402	0.9782330989837646	0.11400695171579718	5000
0.9808265566825867	0.9826051592826843	0.9833071231842041	0.9783584475517273	0.11423511883988977	6000
0.9812391400337219	0.9826739430427551	0.9836742281913757	0.978816032409668	0.11091558636724949	7000
0.9811463356018066	0.9826493263244629	0.9835723638534546	0.9787323474884033	0.1119054387435317	8000
0.9814890623092651	0.9829487800598145	0.9837806224822998	0.9792081713676453	0.10977048970386385	9000
0.9816083312034607	0.9830663204193115	0.9838923811912537	0.9793347716331482	0.10978756408765912	10000
0.9815635085105896	0.9831061363220215	0.9838204383850098	0.9793168902397156	0.10929000952094793	11000
0.9820964336395264	0.9835461378097534	0.9842467308044434	0.9799553751945496	0.10642396471463143	12000
0.9822842478752136	0.9837027788162231	0.9843748211860657	0.9802026152610779	0.10504394670575858	13000
0.9824022054672241	0.9838772416114807	0.9845042824745178	0.9803089499473572	0.10469037635624409	14000
0.9825772047042847	0.9839383959770203	0.984587550163269	0.9805750846862793	0.1019085111990571	15000
0.9831444025039673	0.9844397306442261	0.9849863052368164	0.9813094735145569	0.09946623507887126	16000
0.983189046382904	0.9845261573791504	0.9850267767906189	0.9813579320907593	0.09869567668437958	17000
0.9830138683319092	0.9843321442604065	0.9848830103874207	0.9811519980430603	0.0997150032762438	18000
0.9832456111907959	0.9845917820930481	0.9850485920906067	0.9814493060112	0.09876280501671135	19000
0.9834813475608826	0.9848096370697021	0.9853231906890869	0.9816464781761169	0.0975032045841217	20000
0.9836075901985168	0.9848703742027283	0.9854079484939575	0.9818136692047119	0.09558790528401732	21000
0.9838109016418457	0.9851290583610535	0.9855638146400452	0.9820642471313477	0.09507681716606022	22000
0.9839763045310974	0.9852529168128967	0.9856626987457275	0.9822956919670105	0.09406434998475015	23000
0.9838664531707764	0.9852241277694702	0.9854630827903748	0.9822749495506287	0.09464705695398151	24000
0.9845471382141113	0.9857959747314453	0.9860901236534119	0.9830089211463928	0.08974863323196769	25000
0.984534740447998	0.9857523441314697	0.9860832095146179	0.9829912185668945	0.0905219102408737	26000
0.9846686720848083	0.9859055280685425	0.9861167073249817	0.9832247495651245	0.0906848487406969	27000
0.984872043132782	0.9861466288566589	0.9862692356109619	0.9834786653518677	0.08866992538422346	28000
0.9845391511917114	0.9858317375183105	0.9860106706619263	0.9830719828605652	0.0900104773323983	29000
0.98484867811203	0.9860660433769226	0.9862966537475586	0.9834048748016357	0.08827154208533466	30000
0.9849116206169128	0.9861316680908203	0.9862682223320007	0.9835587739944458	0.0877372665014118	31000
0.9850708246231079	0.9861888289451599	0.9864242672920227	0.9837211966514587	0.08734991268068552	32000
0.9852122664451599	0.9863373637199402	0.9865679740905762	0.983860194683075	0.08615921262837946	33000
0.9852868914604187	0.9864235520362854	0.9866032004356384	0.983974039554596	0.08568174984492362	34000
0.9857510924339294	0.9868456125259399	0.9869556427001953	0.9845494031906128	0.08218331038206815	35000
0.9857207536697388	0.9867801070213318	0.9869529604911804	0.9844917058944702	0.08307269160076976	36000
0.985217809677124	0.9863557815551758	0.986534833908081	0.9839043617248535	0.08593069165013731	37000
0.9859455823898315	0.9870669841766357	0.9871425032615662	0.9847515225410461	0.08133875268138945	38000
0.9857518076896667	0.9868727922439575	0.9869254231452942	0.9845810532569885	0.08341986646316946	39000
0.9858264327049255	0.9870225191116333	0.9870275855064392	0.984628438949585	0.08174295181035995	40000
0.9858891367912292	0.9870443344116211	0.9871075749397278	0.9846735000610352	0.08182050416618586	41000
0.9859656095504761	0.9871091246604919	0.9871224761009216	0.984811544418335	0.08081284616701305	42000
0.9863075613975525	0.9874233603477478	0.9874171018600464	0.9852003455162048	0.07920795756392181	43000
0.9861851930618286	0.9872514009475708	0.9873597621917725	0.9850133657455444	0.07944820487871766	44000
0.9861379861831665	0.9872092008590698	0.9872363209724426	0.9850420951843262	0.08012644749507308	45000
0.9864052534103394	0.9875097870826721	0.9875177145004272	0.985295295715332	0.07840162034146488	46000
0.9864964485168457	0.9874858260154724	0.9875069856643677	0.9854879379272461	0.07786073799058794	47000
0.9865074753761292	0.9875975251197815	0.9876158833503723	0.9854016304016113	0.07825336114317179	48000
0.986609160900116	0.9875916242599487	0.987628161907196	0.9855924248695374	0.07671962008439004	49000
0.9864798188209534	0.9875406622886658	0.987504780292511	0.9854571223258972	0.07827976405620575	50000
0.9870222806930542	0.9881335496902466	0.9879969358444214	0.9860495328903198	0.0748832994857803	51000
