f1/micro	f1/clade_micro	precision/micro	recall/micro	loss	step
0.07498476654291153	0.14730675518512726	0.04209612309932709	0.3428264856338501	13.575010006904602	1500
0.0005351665895432234	0.0012283936375752091	0.055558301508426666	0.00026887826970778406	5.278900402069092	3000
0.021526172757148743	0.021539021283388138	0.8778907656669617	0.010896679945290089	3.913267302831014	4500
0.1811303347349167	0.18179532885551453	0.8753984570503235	0.1010158583521843	3.36076934893926	6000
0.2921609878540039	0.2941586375236511	0.9069327712059021	0.17412735521793365	2.7658194100062055	7500
0.5383790731430054	0.543590784072876	0.9267476201057434	0.3793896436691284	2.091417364279429	9000
0.693282425403595	0.7039408683776855	0.9240216016769409	0.5547537803649902	1.5330049009323121	10500
0.8169064521789551	0.8276950120925903	0.929681122303009	0.7285319566726685	1.0936863129138947	12000
0.8738436102867126	0.8847506642341614	0.9334943890571594	0.821358323097229	0.8314196792642276	13500
0.9045664072036743	0.9135831594467163	0.9399256706237793	0.8717710971832275	0.6391020714441935	15000
0.9186359643936157	0.9266073107719421	0.9455503225326538	0.8932111859321594	0.5313037424584229	16500
0.928320050239563	0.9353733062744141	0.9503976702690125	0.9072448015213013	0.4604620181421439	18000
0.934183657169342	0.9407503008842468	0.9537718296051025	0.9153839349746704	0.4178435713946819	19500
0.9396635890007019	0.9455555081367493	0.9572535753250122	0.9227085113525391	0.37921655708551405	21000
0.9445714950561523	0.9500505924224854	0.9601287841796875	0.929510235786438	0.3482991546591123	22500
0.9476950168609619	0.9527866840362549	0.9619925618171692	0.933816134929657	0.32679480486611523	24000
0.9509376287460327	0.9557484984397888	0.9638280868530273	0.9383875131607056	0.30536636314789456	25500
0.9546288847923279	0.958930492401123	0.9661551713943481	0.9433743357658386	0.28275029300153254	27000
0.9564239978790283	0.9606146216392517	0.9674435257911682	0.9456527233123779	0.2705984707077344	28500
0.959035336971283	0.9628447890281677	0.9687893986701965	0.9494756460189819	0.25203793159127236	30000
0.9605126976966858	0.9641262292861938	0.9697519540786743	0.9514478445053101	0.24234194793303807	31500
0.962553858757019	0.9660828113555908	0.9712581634521484	0.9540043473243713	0.23138676587492227	33000
0.9641063809394836	0.9675607085227966	0.9721347093582153	0.9562093615531921	0.22127358077963194	34500
0.9649093747138977	0.9682339429855347	0.9725527167320251	0.9573853015899658	0.21534446171919505	36000
0.9662608504295349	0.969273030757904	0.9734124541282654	0.9592134356498718	0.20621488633503515	37500
0.9675670862197876	0.9704087376594543	0.9742686748504639	0.9609572291374207	0.1986759694715341	39000
0.9684565663337708	0.9713837504386902	0.9747568368911743	0.9622370600700378	0.19247304314374925	40500
0.9689165353775024	0.9716820120811462	0.9750901460647583	0.9628203511238098	0.18889251767098902	42000
0.9701709747314453	0.972890317440033	0.9758814573287964	0.9645270109176636	0.18193937544773023	43500
0.9709287285804749	0.9735884666442871	0.9764655828475952	0.9654542803764343	0.1772206516067187	45000
0.9715307354927063	0.974038302898407	0.9768391251564026	0.9662796854972839	0.17317102298637232	46500
0.9728050827980042	0.9751379489898682	0.9776217341423035	0.9680355191230774	0.16491817980259657	48000
0.9730237722396851	0.9754422307014465	0.9777379631996155	0.9683549404144287	0.1627195856993397	49500
0.9733009338378906	0.975736141204834	0.9778735637664795	0.9687708020210266	0.16134485069413979	51000
0.9742398262023926	0.9765488505363464	0.9786986112594604	0.9698214530944824	0.15635452771931888	52500
0.9745362997055054	0.9766943454742432	0.9788843393325806	0.9702268838882446	0.15381854310880105	54000
0.9752461314201355	0.9775907397270203	0.9793550372123718	0.9711716175079346	0.14883445887764296	55500
0.9750847816467285	0.9772688746452332	0.9790219664573669	0.971179187297821	0.15045572732140622	57000
0.9759730100631714	0.9781169891357422	0.9797101020812988	0.972264289855957	0.14466714918613433	58500
0.9766086339950562	0.9786398410797119	0.9802152514457703	0.9730284810066223	0.14040398607154686	60000
0.9767465591430664	0.9788087010383606	0.9802001714706421	0.9733174443244934	0.13942914534484346	61500
0.9771347045898438	0.9791278839111328	0.9804794192314148	0.9738126993179321	0.13644368731975556	63000
0.9769935607910156	0.979083240032196	0.980383574962616	0.9736270308494568	0.1375312201405565	64500
0.9774957895278931	0.9794621467590332	0.9806967973709106	0.9743154644966125	0.13452465272073943	66000
0.977899432182312	0.9798017144203186	0.9810118675231934	0.9748068451881409	0.1322647580926617	67500
